level,N,MLOPS
1,2,284.90028
1,4,738.00738
1,8,1600.00000
1,16,3478.26087
1,32,6153.84615
1,64,7804.87805
1,128,12052.73070
1,256,14695.75201
1,512,15782.98397
1,1024,15538.69499
1,2048,15977.53160
1,4096,9738.00580
2,2,307.21966
2,4,1248.04992
2,8,3551.60932
2,16,9397.94420
2,32,18658.89213
2,64,22202.94883
2,128,3570.05892
2,256,11678.20778
2,512,11015.96269
2,1024,36144.88066
2,2048,42482.56002
2,4096,10428.08448
3,2,739.37153
3,4,5604.20315
3,8,21476.51007
3,16,46157.31350
3,32,55720.31016
3,64,57786.79129
3,128,54420.22656
3,256,174153.09455
3,512,345597.38505
3,1024,422259.87103
3,2048,444234.52309
3,4096,661062.14111
